Provider/Currency,Supported National Currencies,Supported Crypto Currencies,Disclaimer
Caleta,"IRR, IRT, VND, LAK, LBP, IDR, UZS, GNF, CHIP, PYG, COP, MGA, KHR, UGX, MNT, SYP, TZS, CDF, MMK, BIF, KRW, IQD,
RWF, MWK, KPW, CLP, XAF, XOF, SDG, SOS, AOA, CRC, #ARS, NGN, KMF, KZT, AMD, HUF, LKR, PKR, YER, ARS, GYD, DJF,
LRD, JMD, HTG, ISK, JPY, KES, DZD, NPR, SSP, VUV, XPF, RSD, BDT, ALL, CVE, AFN, KGS, INR, BTN, RUB, MZN, GMD,
MKD, PHP, DOP, ETB, MUR, UYU, SRD, UAH, NIO, THB, MRU, EGP, TWD, VES, CUP, HNL, CZK, TRY, LSL, NAD, SZL, ZAR,
ZMW, MDL, MXN, MVR, ERN, BWP, SCR, TJS, NOK, GHS, SEK, MAD, SBD, MOP, GTQ, HKD, CNY, HRK, BOB, DKK, TTD,
BRL, LYD, RON, MYR, PLN, SAR, PEN, AED, QAR, ILS, PGK, TMT, TND, WST, XCD, BYN, GEL, FJD, BZD, BBD, BAM, BGN,
ANG, AWG, AZN, NZD, AUD, CAD, BND, SGD, BMD, BSD, CUC, PAB, USD, EUR, FUN, XXX, CHF, KYD, FKP, GBP, GGP, GIP,
IMP, JEP, XDR, JOD, OMR, BHD, KWD, XAG, XAU","SHIB, mDOGE, mXRP, uETH, ONE, RVN,
uBTC, mDASH, CRO, TRX, DOGE, mLTC,
mBCH, mXMR, mBNB, ADA, FTM, FTN,
XRP, CELO, MATIC, EOS, STAKEGC,
STAKESC, TUSD, BUSD, USDC, DAI,
USDT, mETH, TON, UNI, DOT, LINK,
ATOM, AVAX, ETC, SOL, mBTC, AAVE,
LTC, BCH, XMR, BNB, ETH.",
Champion,AFN ALL AMD ANG ARS AUD AWG AZN BAM BBD BGN BHD BIF BMD BND BOB BRL BSD BTN CAD CLP COP CZK DOP EGP ERN EUR GEL GGP GHS GIP GTQ GYD HNL HTG HUF IMP JEP JMD JOD JPY KES KMF KPW KRW KWD KYD KZT LBP LKR LRD MDL MKD MMK MOP MXN MYR NAD OMR PEN PGK PLN RON RSD SCR SEK SGD SRD SVC SYP TJS TMT TTD TWD TZS UAH USD UZS VUV XCD ZAR ZWL,-,
Clawbuster,AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BHD BIF BND BOB BRL BYN CAD CDF CHF CLP CNY COP CRC CUP CZK DKK DOP DZD EGP ETB EUR GBP GEL GHS GMD GNF GTQ HKD HNL HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KRW KWD KZT LAK LBP LKR LSL MAD MDL MGA MKD MMK MNT MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SEK SGD SLL SLE SOS SSP SVC SYP THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VES VND XAF XOF ZAR ZMW ZWL,ACM ADA ALGO ASR ATOM AVAX BAT BCH BCN BNB BTC BTN BTS BUSD DAI DASH DGB DOGE DOT EOS ETH FTN GAL IRT JUV LINK LTC LUNA MATIC NEO OMG POL QTUM SHIB SIB SOL TON TRX TUSD USDC USDT UST XDR XEM XLM XMR XRP XVG ZEC,
Concept Gaming,AED AMD ANG ARS AUD AZN BDT BGN BHD BOB BRL BYN CAD CHF CLP CNY COP CRC CZK DKK DOP DZD EGP GBP GEL HKD HTG HUF IDR ILS INR IQD IRR ISK JOD JPY KGS KRW KWD KZT LBP LKR LRD LYD MAD MDL MXN MYR MZN NGN NOK NPR NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB SAR SEK SGD THB TJS TMT TND TRY TWD UAH USD UYU UZS VES VND XAF XOF ZAR	,-,
CT Interactive,AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BHD BND BOB BRL BYN BYR BZD CAD CDF CHF CLP CNY COP CRC CZK DKK DZD EGP ETB EUR GBP GEL GHS GMD GNF GTQ GYD HKD HRK HUF IDR ILS INR IQD IRR ISK JOD JPY KES KGS KHR KMF KRW KWD KZT LBP LKR LRD LTL LYD MAD MKD MMK MNT MOP MXN MYR NGN NIO NOK NZD OMR PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SEK SGD SLL SYP THB TJS TMT TND TRY TWD TZS UAH UGX USD UYU UZS VEF VND XAF XCD XOF ZAR ZMW,USDT,
CQ9,CNY JPY THB MMK VND MYR IDR USD KRW EUR INR GBP SGD AUD PHP IDR(K) VND(K) HKD CQP2 MMKP1 CFC DIMC GODC RUB PLN YGB KHR EGC KHR(Moha) SEK NOK CAD EZGC BLC CT OTC DSCB(K) HDA POC MXN BET MMK BRL KES INR TRY ILS ZAR BND MMK(K) COP BDT CLP TRX NPR TND LAK AED USD VES ARS NGN AMD PKR DZD MAD FRF UAH LAK(K) DOP HTG KZT PEN,TRX DOGE mLTC mETH mEOS mBHD USDX USDT EOS uBTC DCCB,The list of supported сurrencies depends on the game
Digitain,AED ALL AMD ARS AUD AZN BAM BCH BDT BET BGN BHD BOB BRL BYN BYR CAD CDF CHF CLP CNY COP CRC CZK DA DKK DOP EGP ETB ETN EUR GBP GEL GHS GTQ HKD HNL HTG HUF IDR ILS INR IQD IRR IRT JPY KES KGS KHR KRW KZT LAK LBP LKR MAD MDL MMK MNT MOP MXN MYR NGN NIO NOK NZD PEN PHP PLN PYG QAR RON RSD RUB RWF SAR SEK SGD SLL SSP THB TJS TMT TND TRX TRY TWD TZS UAH UGX USD UYU UZS VEF VES VND XAF XOF XOV ZAE ZMW,"uBTC, TRX",
DigitainCG (ImagineLive + DigitainVirtualSports + Galaxsys),BGN KMF AFN CUP GHS GIP XDR QAR AUD ZWL BIF HRK EGP HTG ILS MVR IRT DJF DOP ISK IRR JMD JPY NAD OMR PYG EUR SYP USD COP NZD ETB MNT PLN XCD WST UAH MAD AZN BZD BTN BAM BND CDF FJD KGS LAK MOP MDL RUB RWF SZL CLP BOB KHR AWG KYD CNY HKD JOD KES NIO VUV YER GEL KPW LBP MUR RON TWD TOP UGX UZS VND BDT INR BWP NOK BRL PEN ZAR TMT GTQ GYD LYD MWK SHP STN SOS CZK ERN HUF IQD LSL MMK PGK SSP CHF TZS ALL BYN GMD KZT PAB SLL CHW ZMW DZD ARS AMD SVC XAF DKK MYR MXN SAR SDG SRD GBP BBD BSD AOA FKP CAD HNL MZN PKR CHE XOF CRC GNF KRW LRD MKD MGA NPR NGN PHP TRY XPF BHD BMD CVE IDR KWD ANG SBD LKR SEK THB TTD MRU RSD SCR SGD TJS TND AED UYU FUN BYN VES,"TRX, XRP, uBTC, GBT, USDT",
DragoonSoft,"1IDR,1LAK,1MMK,1VND,AED,AMD,ARS,AUD,AZN,BDT,BRL,BYN,CAD,CDF,CHF,CLP,CNY,COP,CZK,EUR,ETB,GBP,GEL,GHS,HKD,HTG,HUF,IN5,INR,IRR,JPY,KES,KGS,KHR,kIDR,kLAK,kMMK,KRW,kVND,KZT,LKR,MDL,MXN,MYR,NGN,NIO,NOK,NPR,NZD,PEN,PHP,PK5,PKR,PLN,RUB,SEK,SGD,SSP,THB,TMT,TND,TRY,TZS,UAH,UGX,USD,UZS,XAF,XOF,ZAR,ZMW",USDT,
DreamPlay,AED AMD AOA ARS AUD AZN BDT BGN BOB BRL CAD CDF CHF CLP CNY COP CRC CZK EGP ETB EUR GBP GEL GHS GTQ GYD HNL HUF IDR INR IRR JPY KES KGS KHR KRW KZT LBP LKR LSL MDL MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD PEN PHP PKR PLN PYG RON SAR SEK SGD SZL THB TND TJS TMT TRY TZS UAH UGX USD UYU UZS VND XAF XOF ZAR ZMK ZMW,-,
Edict (ReelTime + Merkur),"ALL, AMD, ARS, AUD, AZN, BAM, BGN, BOB, BRL, CAD, CHF, CLP, COP, CZK, DKK, DOP, EUR, GBP, GEL, GHS, HRK, HUF, INR, JPY, KES, KGS, KRW, KZT, LSL, MDL, MKD, MNT, MXN, NGN, NOK, NZD ,PEN, PLN, RON, RSD, RUB, RWF, SEK, TJS, TRY, UAH, UGX, USD, UZS, XAF, ZAR, BDT",-,"Pure Money Game supports these currencies: EUR, AUD, CAD, CHF, GBP, USD"
EGT Digital,AOA AZN BDT BND CDF CLP CNY CRC EGP EUR GBP GTQ INR KGS KHR KRW KZT LKR LRD MAD MDL MNT MZN NAD NPR NZD PHP RUB RWF THB TJS TRY TWD USD UZS VND XAF XOF,-,"ARS, BRL, KES, PEN, CZK, PLN is not supported for .com market	"
Amusnet (ex. EGT Interactive),"AZN, BDT, CAD, CLP, CNY, EGP, EUR, GBP, INR, KGS, KRW, KZT, LKR, MAD, MDL, MNT, NAD, NOK, NPR, NZD, PHP, RUB, RWF, SEK, THB, TJS, TRY, TWD, UAH, USD, UZS, VND, XAF, XOF, ZAR, KHR",-,"ARS, BRL, CHF, COP, CZK, KES, MVR, PEN, PLN, TZS, VES is not supported for .com market        "
ElaGames,"EUR, GBP, USD, AED, ALL, AMD, ANG, AOA, ARS, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BHD, BIF, BMD, BND, BOB, BRL, BSD, BWP, BYN, BZD, CAD, CDF, CHF, CLP, CNY, COP, CRC, CUP, CZK, DKK, DOP, DZD, EGP, ERN, ETB, FJD, GEL, GGP, GHS, GIP, GMD, GNF, GTQ, GYD, HKD, HNL, HTG, HUF, IDR, ILS, INR, IQD, IRR, ISK, JMD, JOD, JPY, KES, KGS, KHR, KMF, KRW, KWD, KZT, LBP, LKR, LYD, MAD, MDL, MGA, MKD, MMK, MNT, MUR, MXN, MYR, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PGK, PHP, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SBD, SCR, SDG, SEK, SGD, SLE, SLL, SOS, SRD, SSP, STN, SVC, SYP, SZL, THB, TJS, TMT, TND, TOP, TRY, TTD, TWD, TZS, UAH, UGX, UYU, UZS, VES, VND, WST, XAF, XCD, XOF, XPF, YER, ZAR, ZMW",,
Elk Studios,AMD ARS AUD BGN BRL CAD CHF CLP CNY COP CAK DKK EUR GBP GEL HKD HRK HUF IDR INR ISK JPY KHR KRW MMK MXN MYR NOK NAD PEN PHP PLN PYG RON RSD RUB SEK SGD THB TRY TWD UAH USD UYU VND ZAR,-,
Endorphina,ADA AFN AMD AOA AWG BAM BDT BHD BIT BNB BOB BRL BTS BWP BYR CAD CDF CHF CLF CNH COP CRC CUP CZK DKK DSH EAC EMC ERN FCT FKP GCX GGP GIP GNF GYD HNL HTG IDR ILS INR ISK JMD JPY KES KGS KMF KRW KYD LAK LBX LRD LVL MAD MGA MMK MOP MRU MVR MXN MYR NAD NIO NOK NVC NZD PAB PGK PKR PLY PRB PYG RON RUB SAR SCR SDG SGD SLL SOS SSP STN SVC SZL TJS TND TRX TTC TWD UAH USD UYI UZS VND VUV XAF XAU XDG XMR XPD XPM XSU XUA YER ZMF ZMW AED ALL ANG ARS AUS AZN BBD BGN BIF BMD BND BOV BSD BTN BTT BYN BZD CBC CHE CHW CLP CNY COU CUC CVE DJF DOP DZD EGP EOS ETB EUR FJD FTC GBP GEL GHS GMD GTQ HKD HRK HUF IDX IMP IRT JEP JOD KHR KPW KWD KZT LBP LKR LSL LTL LYD MDL MKD MNT MRO MUR MWK MXV MZN NGN NMC NPR NXT OMR PEN PHP PLN PPC PTS QAR RSD RWF SBD SCX SEK SHP SLZ SRD STD STR THB TMT TOP TRY TTD TZS UGX UST UYU VEB VES VTC WST XAG XCD XDR XOF XPF XPT XSG XTS ZAR ZWL ,"uBTC (XB3), DOGE (XDG), XRP, BCH, mBNB","DKK, RON, SEK currency is available only for operators with a local license
CZK available only for the Czech operators url .cz"
Enjoy,"USD, UAH, INR, BYN, EUR, KZT, MDL, PLN, RUB, TMT, UZS, AZN, TJS, KGS, TRY, BRL, NGN, TZS, PKR, THB, IDR, MYR, VND, MXN, IRR, BDT, LKR, NPR, JPY, PHP, SAR, AED, CAD, AUD, NZD, AMD, GEL, CNY, NOK, SEK, CZK, ZAR, PEN, CLP, CHF, ARS, TND, KHR, ALL, AOA, BAM, BGN, BHD, BOB, BWP, CDF, COP, CRC, CUP, DKK, DZD, EGP, ETB, GHS, GMD, GNF, GTQ, HKD, HNL, HTG, HUF, IQD, ISK, JOD, KES, KRW, KWD, LBP, LSL, LYD, MAD, MGA, MKD, MNT, MVR, MZN, NAD, OMR, PYG, QAR, RON, RSD, SCR, SDG, SGD, TWD, UGX, UYU, VES, XAF, XOF, ZMW, BTN, RWF, BND, MMK, MRU, BZD, BIF","USDT, mBTC, uBTC, mBCH, mLTC, TRX, XRP, DOGE, mETH, ADA, SHIB, EOS, SOL, DASH",
Espresso Games,"ARS, AUD, AZN, BDT, BRL, CAD, CLP, EUR, GEL, INR, KRW, KZT, LRD, MNT, MZN, MYR, NOK, PLN, RUB, TND, TRY, UAH, USD, UZS, XOF        ",-,It is possible to add other currency by request
EurasianGames,EUR GBP SGD ZAR VEF SEK THB ARS AR1 TRY COP RON CNY CHF CAD MXN MYR RSD GEL PYG CLP KES XAF AUD NOK RUB BRL JPY UAH UYU NGN DKK PLN KZT IDR LTC PPC FSP CZK HUF PEN DOP AMD ALL BGN EEK LTL LVL MAD TND INR HKD TWD KRW BOB NZD HRK BAM LKR AED BDT MVR NPR AZN BSD GHS KGS MDL MUR PRB TJS TMT TTD BYR IQD IRR MGA RWF TZS UGX VND MKD ISK PHP SAR QAR OMR JOD BHD KWD AOA CDF SCR ILS ZEC BND GTQ ZMK BYN KHR MNT NAD MWK CFA VES JMD GYD BMD LBP LSL ZMW UZS HNL PKR SSP MZN CRC PAB ADA TRX DZD EGP ETB PUN NIO SVC BAI GNF ERN SBD BZD MOP QTG LYD IMP JEP BIF BNB DAI ZWL BSV NEO HTG GMD AXS CHZ LAK CUP SOS XDR SOL KYD EOS FTM LRD XLM CHP GIP PGK SRP YER GGP PNY SLL USD TOP SRD RIV SSC GOC,"mETH, mLTC, uBTC, mBCH, USDT, DOGE, XOF, USDC, uETH, XRP, mETC, mSOL",
Evolution Gaming,"AED AFN ALL AMD ANG AOA ARS AR1 AWG AZN BAM BBD BDT BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CLP CNY COP CRC CVE DJF DKK DOP DZD EGP ERN EUR FJD FKP GHS GIP GMD GNF GYD HKD HNL HRK HTG HUF IDR ILS INR IQD ISK JMD JOD JPY KES KGS KHR KMF KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MNT MOP MRU MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RUB RWF SAR SBD SCR SGD SHP SLE SLL SOS SRD SVC SZL THB TJS TMT TND TOP TRY TTD TZS UAH UGX USD UYU UZS VES VND VUV WST XAF XCD XCG XDR XOF XPF YER ZAR ZMW

Europe/Asia/LATAM instances have different regional packs of currencies","uBTC, ET2, LT2, mBCH, TRX, USDT, DOGE","all countries where a license is required + their respective currencies won't be available unless you hold a valid license (CAD, CHF, CZK, GBP, GEL, RON, RSD, SEK)
"
Evoplay,AED AFN ALL AMD ANG AOA ARS AR1 AUD AZN BAM BDN BDT BGN BOB BRL BTN BWP BYN BZD CAD CDF CHF CLP CNY COP CVE CRC CZK DJF DKK DZD DOP EGP ETB EUR GBP GEL GHS GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KRW KWD KZT LAK LBP LKR LRD LYD MAD MDL MKD MMK MNT MVR MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PEN PHP PKR PLN PYG QAR RON RSD RWF RUB SAR SCR SDG SEK SGD SLL SSP SRD THB TJS TMT TND TRY TTD TWD TZS UAH UGX USD UYU UZS VES VND XAF XCD XOF ZAR ZMW ZWL,"uBTC, mETH, mLTC, mBCH, USDT, XRP, DOGE",
Ezugi,ADA VES ZWL AFN AMD AOA AWG BAM BDT BHD BIT BNB BOB BRL BTS BWP BYR CAD CDF CHF CLF CNH COP CRC CUP DKK DSH EAC EMC ERN FCT FKP GCX GGP GIP GNF GYD HNL HTG IDR INR ISK JMD JPY KES KGS KMF KRW KYD LAK LBX LRD LVL MAD MGA MMK MOP MRU MVR MXN MYR NAD NIO NOK NVC NZD PAB PGK PKR PLY PRB PYG RUB SAR SCR SDG SGD SLL SOS SSP STN SVC SZL TJS TND TRX TTC TWD UAH USD UYI UZS VND VUV XAF XAU XDG XMR XPD XPM XSU XUA YER ZMF ZMW ALL ANG ARS AUS AZN BBD BIF BMD BND BOV BSD BTN BTT BYN BZD CBC CHE CHW CLP CNY COU CUC CVE DJF DOP DZD EGP EOS ETB EUR FJD FTC GBP GEL GHS GMD GTQ HKD HRK IDX IMP IRT JEP JOD KHR KPW KWD KZT LBP LKR LSL LTL LYD MDL MKD MNT MRO MUR MWK MXV MZN NGN NMC NPR NXT OMR PEN PHP PLN PPC PTS QAR RSD RWF SBD SCX SEK SHP SLZ SRD STD STR THB TMT TOP TRY TTD TZS UGX UST UYU VEB VTC WST XAG XCD XDR XOF XPF XPT XSG XTS ZAR,"uBTC, TRX, USDT, XRP","BGN - only with Bulgarian license
RON - only with Romanian licanse"
Fa Chai,AED AMD ARS AUD AZN BDT BND BOB BRL BYN CAD CDF CHF CLP CNY COP CRC CUP CZK DOP EGP ETB EUR GBP GEL GHS HKD HTG HUF IDR INR IQD IRR JPY KES KGS KHR KRW KZT LAK LBP LKR MAD MDL MMK MNT MOP MXN MYR MZN NAD NGN NOK NPR NZD PEN PHP PKR PLN PTE PYG RUB SEK SGD SSP THB TMT TND TRY TZS UAH UGX USD UYU UZS VES VND XAF XOF ZAR ZMW ZWD,USDT,
FBastards,AED ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BMD BND BOB BRL BSD BWP BYN BZD CAD CHF CLP CNY COP CRC CUP CZK DKK DOP DZD EGP ETB EUR FJD FKP GBP GEL GHS GIP GMD GTQ GYD HKD HNL HTG HUF ILS INR ISK JMD KES KGS KHR KYD KZT LAK LBP LKR MAD MDL MKD MMK MNT MOP MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD PAB PEN PGK PHP PKR PLN QAR RON RSD RUB SAR SBD SCR SEK SGD SOS SRD SZL THB TOP TRY TTD TWD TZS UAH USD UYU UZS WST XCD YER ZAR ZMW,-,
Formula Spin,"AED, AFN, ALL, AMD, AOA, ARS, AUD, AWG, AZN, BAM, BBD, BDT, BGN, BHD, BIF, BND, BOB, BRL, BSD, BTN, BWP, BYN, BZD, CAD, CDF, CHF, CLP, CNY, COP, CRC, CVE, CZK, DJF, DKK, DOP, DZD, EGP, ERN, ETB, EUR, GBP, GEL, GHS, GIP, GNF, GTQ, HKD, HNL, HRK, HUF, IDR, ILS, INR, IQD, IRR, ISK, JMD, JOD, JPY, KES, KGS, KHR, KMF, KRW, KWD, KZT, LBP, LKR, LTL, LVL, LYD, MAD, MDL, MGA, MKD, MMK, MNT, MOP, MUR, MXN, MYR, MZN, NAD, NGN, NIO, NOK, NPR, NZD, OMR, PAB, PEN, PHP, PKR, PLN, PYG, QAR, RON, RSD, RUB, RWF, SAR, SDG, SEK, SGD, SOS, SYP, THB, TND, TOP, TRY, TTD, TWD, TZS, UAH, UGX, USD, UYU, UZS, VEF, VND, XAF, XOF, YER, ZAR, ZMK, ZWL
","ADA, BTC, DOGE, P3D, PRB, TRX, USDT, XRP, FUN, GC, SC",
Fugaso,ADA AED AFN ALL AMD AMS ANG AOA ARS ADD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BTT BWP BYN BYR BZD CAD CDF CFA CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOGE DOP DTC DZD EEK EGP EOS ERN ETB EUR FEU FJD FKP  GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF ICX IDR ILS IMP INR IQD IRR IRT ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LTL LVL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NEM NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RMB RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SKK SLL SOC SOS SRD SSP SVC SYP SZL THB TJS TMT TND TOM TOP  TRY TTD TVD TWD TZS UAH UGX USD UYU UZS VEF VES VND VUV WST XAF XCD XEM XOF XPF  XVG XXX YER ZAR ZMK ZMW ZWD,"mBCH, mDASH, mZEC , mETH, uETH, mLTC, uLTC, uBTC, USDT, TRX, XRP, DOGE, mBNB",
Gabsys,AMD AUD AZN BDT BGN BRL BYN CAD CLP CNY CZK DKK EGP ETB EUR GBP GEL ILS INR JPY KES KGS KZT LKR MAD MDL NAD NGN NOK NPR NZD PHP PKR PLN RUB RWF SEK SSP THB TJS TMT TND TRY TZS UAH UGX USD UZS XOF ZAR ZMW ZWL,uBTC,
Gamanza,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BWP BYN BZD CAD CDF CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNEO MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PPC PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLL SOS SRD STD SVC SYP SZL THB TJS TMT TND TOP TRX TRY TTD TWD TZS UAH UGX USD UYU UZS VEF VND VUV WST XAF XCD XLM XOF XPF YER ZAR ZMW ZWL,"ADA COIN DOGE EOS MBCH MBNB MDAS METH MLTC UBTC USDT XRP

",
Gamebeat,AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BHD BIF BND BOB BRL BWP BYN CAD CDF CHF CLP CNY COP CRC CUP CZK DKK DOP DZD EGP ETB EUR GBP GEL GGP GHS GIP GMD GNF GTQ HKD HNL HRK HUF IDR ILS IMP INR IQD IRR ISK JEP JOD JPY KES KGS KHR KRW KWD KZT LBP LKR LSL LYD MAD MDL MGA MKD MMK MNT MVR MXN MYR MZN NGN NIO NOK NPR NZD OMR PAB PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SCR SDG SEK SGD SLE SOS THB TJS TMT TND TRY TWD TZS UAH UGX USD UYU UZS VEF VES VND XAF XOF ZAR ZMW,ADA AMP AXS BCH BNB BSV BTT BUSD CAKE CBET CRO CRV DAI DASH DGB DOG DOGE DOT EOS ETC EURS GUSD KSM LINK NEO PNY PPC SHIB SOL TRX TUSD USDC USDT VSYS VTC XBT XLM XMR XRP XTZ ZEC,
GamingCorps,ADA AED AFN ALL AMD AMS ANG AOA ARS ADD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BRL BSD BTN BTT BWP BYN BYR BZD CAD CDF CFA CHF CLP CNY COP CRC CUC CUP CVE CZK DJF DKK DOGE DOP DTC DZD EEK EGP EOS ERN ETB EUR FEU FJD FKP GEL GGP GHS GIP GMD GNF GTQ GYD HKD HNL HRK HTG HUF ICX IDR ILS IMP INR IQD IRR IRT ISK JEP JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LTL LVL LYD MAD MDL MGA MKD MMK MNT MOP MRO MUR MVR MWK MXN MYR MZN NAD NEM NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RMB RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SKK SLL SOC SOS SRD SSP SVC SYP SZL THB TJS TMT TND TOM TOP TRY TTD TVD TWD TZS UAH UGX USD UYU UZS VEF VES VND VUV WST XAF XCD XEM XOF XPF XVG XXX YER ZAR ZMK ZMW ZWD,"mBCH, mDASH, mZEC, mETH, uETH, mLTC, uLTC, uBTC, USDT, TRX, XRP, DOGE, mBNB",
Gamzix,AED ALL AMD AOA ARS AUD AZN BAM BDT BGN BHD BND BOB BRL BYN BYR BZD CAD CDF CHF CLP CNY COP CRC CZK DJF DKK DZD EGP ETB EUR GBP GEL GHS GMD GNF GTQ GYD HKD HRK HUF IDR ILS INR IQD IRR ISK JOD JPY KES KGS KHR KMF KRW KWD KZT LBP LKR LRD LTL LYD MAD MDL MKD MMK MNT MOP MXN MYR MZN NGN NIO NOK NZD NPR OMR PEN PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SEK SGD SLL SYP THB TJS TMT TND TRY TWD TZS UAH UGX USD UYU UZS VEF VND XAF XCD XOF ZAR ZMW ZWD ZWL	,mBCH DOGE mETH mLTC TRX USDT uBTC XRP,
GGames via Relax,"AMD, ARS, AUD, AZN, BAM, BGN, BOB, BRL, BWP, BYN, CAD, CHF, CLP, CNY, COP, CRC, CZK, DKK, EUR, GBP, GEL, GHS, GYD, HKD, HRK, HUF, IDR, ILS, INR, ISK, JPY, KES, KRW, KZT, MAD, MKD, MXN, MYR, NGN, NOK, NZD, PEN, PHP, PLN, RON, RSD, RUB, RWF, SEK, SGD, THB, TRY, TZS, UAH, UGX, USD, UYU, VND, XAF, ZAR, ZMW, BZD, GTQ, HNL, NIO, PYG, SRD",-,List of currencies can have differences depends on the game
Genii,"AMD, ARS, AUD, BOB, BRL, CAD, CHF, CLP, CNY, CZK, DKK, EUR, GBP, GEL, GHS, HKD, JPY, KES, KHR, KRW, MXN, MYR, MZN, NGN, NOK, NZD, PAB, PEN, PLN, RUB, RWF, SEK, THB, TRY, TZS, UAH, UGX, USD, VEF, ZAR	","BCH, mBCH, mLTC",
Igrosoft,AED AFN ALL AMD ANG AOA ARS AUD AWG AZN BAM BBD BDT BGN BHD BIF BMD BND BOB BOV BRL BSD BTN BWP BYN BZD CAD CDF CHE CHF CHW CLF CLP CNY COP COU CRC CUC CUP CVE CZK DJF DKK DOP DZD EGP ERN ETB EUR FJD FKP GBP GEL GHS GIP GMD GNF GTQ GYD HKD HNL HTG HUF IDR ILS INR IQD IRR ISK JMD JOD JPY KES KGS KHR KMF KPW KRW KWD KYD KZT LAK LBP LKR LRD LSL LYD MAD MDL MGA MKD MMK MNT MOP MRU MUR MVR MWK MXN MXV MYR MZN NAD NGN NIO NOK NPR NZD OMR PAB PEN PGK PHP PKR PLN PYG QAR RON RSD RUB RWF SAR SBD SCR SDG SEK SGD SHP SLE SOS SRD SSP STN SVC SYP SZL THB TJS TMT TND TOP TRY TTD TWD TZS UAH UGX USD USN UYI UYU UZS VED VEF VND VUV WST XAF XCD XDR XOF XPF XSU XUA YER ZAR ZMW ZWL,"XRP, uETH, TRX",
